Date,Open,High,Low,Close,Adj Close,Volume
2005-09-26,78.309998,78.410004,76.930000,77.410004,51.113869,5433200
2005-09-27,77.169998,78.599998,77.160004,77.989998,51.496834,5499600
2005-09-28,78.059998,79.730003,78.059998,79.500000,52.493893,7747700
2005-09-29,79.250000,80.550003,78.870003,80.360001,53.061752,5899700
2005-09-30,80.019997,80.500000,79.970001,80.220001,52.969322,5536500
2005-10-03,80.220001,80.599998,79.500000,80.449997,53.121166,5297600
2005-10-04,80.650002,81.470001,79.930000,80.110001,52.896675,6365100
2005-10-05,80.110001,80.680000,79.559998,79.820000,52.705185,4998800
2005-10-06,79.820000,80.269997,78.699997,79.699997,52.625954,8130200
2005-10-07,80.250000,81.120003,80.089996,80.500000,53.154190,6130100
2005-10-10,81.239998,82.099998,81.080002,81.250000,53.649410,7882900
2005-10-11,82.250000,83.519997,81.970001,83.190002,54.930386,9781300
2005-10-12,82.750000,82.930000,81.949997,82.190002,54.270111,7580800
2005-10-13,81.699997,83.199997,81.699997,82.199997,54.276699,5530600
2005-10-14,82.599998,82.709999,81.599998,82.349998,54.375740,5573700
2005-10-17,82.360001,82.989998,81.930000,82.589996,54.534214,7964800
2005-10-18,84.330002,84.599998,83.349998,83.480003,55.121872,12045300
2005-10-19,82.410004,84.199997,82.379997,84.169998,55.577480,7502600
2005-10-20,84.000000,84.190002,82.879997,83.169998,54.917187,5752700
2005-10-21,83.080002,84.000000,82.910004,83.330002,55.022842,6020700
2005-10-24,83.150002,83.610001,82.599998,83.470001,55.115288,5482200
2005-10-25,83.080002,83.949997,82.709999,83.360001,55.042660,5393300
2005-10-26,82.970001,83.870003,82.720001,82.889999,54.732327,4270800
2005-10-27,82.529999,82.930000,82.250000,82.309998,54.349335,3705800
2005-10-28,82.320000,82.430000,80.500000,81.419998,53.761665,6941300
2005-10-31,81.510002,82.300003,81.300003,81.879997,54.065407,7531200
2005-11-01,81.849998,82.150002,81.290001,81.589996,53.873898,5653100
2005-11-02,81.199997,81.889999,80.639999,81.059998,53.523968,6447400
2005-11-03,81.550003,83.029999,81.309998,82.870003,54.719101,7690900
2005-11-04,82.910004,83.300003,82.650002,83.000000,54.804958,3831400
2005-11-07,83.099998,83.849998,83.070000,83.610001,55.207722,4455100
2005-11-08,83.410004,83.900002,83.110001,83.150002,55.035652,3798000
2005-11-09,82.709999,83.330002,82.489998,82.839996,54.830448,3936200
2005-11-10,82.699997,84.300003,82.300003,83.989998,55.591621,4732000
2005-11-11,84.199997,84.839996,84.150002,84.550003,55.962276,4841300
2005-11-14,84.250000,85.000000,84.110001,84.360001,55.836510,3915300
2005-11-15,84.029999,85.900002,84.029999,85.529999,56.610924,6830800
2005-11-16,85.449997,86.580002,85.389999,86.540001,57.279434,6694100
2005-11-17,86.180000,86.980003,85.760002,86.889999,57.511089,5293600
2005-11-18,88.000000,88.000000,87.169998,87.769997,58.093548,7985800
2005-11-21,87.599998,87.870003,87.010002,87.290001,57.775841,4807900
2005-11-22,86.879997,88.080002,86.879997,87.989998,58.239124,5786600
2005-11-23,88.120003,89.389999,87.949997,88.800003,58.775291,5399300
2005-11-25,88.949997,89.320000,88.620003,88.800003,58.775291,2199300
2005-11-28,88.800003,89.430000,88.750000,89.110001,58.980461,5197900
2005-11-29,89.180000,89.940002,89.019997,89.099998,58.973831,5147000
2005-11-30,89.050003,89.639999,88.730003,88.900002,58.841476,6021500
2005-12-01,89.150002,89.739998,89.050003,89.209999,59.046631,4668500
2005-12-02,89.000000,89.150002,88.360001,88.650002,58.675995,4730500
2005-12-05,88.400002,88.650002,87.709999,88.430000,58.530388,4023600
2005-12-06,88.559998,89.839996,88.559998,89.139999,59.000317,4871500
2005-12-07,89.000000,89.919998,88.449997,88.720001,58.722332,5284000
2005-12-08,88.570000,88.910004,86.669998,87.500000,57.914837,5787000
2005-12-09,86.800003,87.099998,86.330002,86.970001,57.564026,6461800
2005-12-12,87.010002,87.349998,85.760002,85.959999,56.895527,6044100
2005-12-13,84.500000,84.900002,83.500000,83.709999,55.406288,12545300
2005-12-14,83.650002,83.949997,82.949997,83.129997,55.022415,7161800
2005-12-15,82.879997,83.629997,82.750000,83.529999,55.287148,6155900
2005-12-16,83.889999,84.000000,83.000000,83.370003,55.181255,7398200
2005-12-19,83.230003,83.599998,82.650002,82.760002,54.777500,4985400
2005-12-20,82.949997,83.099998,82.059998,82.480003,54.592178,5276200
2005-12-21,82.459999,84.000000,82.459999,83.120003,55.015778,6846800
2005-12-22,82.610001,83.230003,82.300003,83.220001,55.081974,6573600
2005-12-23,84.000000,84.199997,83.389999,83.480003,55.254040,3616200
2005-12-27,83.480003,84.500000,82.889999,82.989998,54.929737,4377800
2005-12-28,83.099998,83.570000,82.800003,83.040001,54.962833,3836800
2005-12-29,82.800003,83.059998,82.220001,82.400002,54.539223,3958400
2005-12-30,81.849998,82.489998,81.559998,82.199997,54.406853,5449000
2006-01-03,82.449997,82.550003,80.809998,82.059998,54.314159,11715100
2006-01-04,82.199997,82.500000,81.330002,81.949997,54.241360,9832800
2006-01-05,81.400002,82.900002,81.250000,82.500000,54.605408,7213400
2006-01-06,83.949997,85.029999,83.410004,84.949997,56.227028,8196900
2006-01-09,83.900002,84.250000,83.379997,83.730003,55.419537,6851100
2006-01-10,83.150002,84.120003,83.120003,84.070000,55.644562,5700000
2006-01-11,84.370003,84.809998,83.400002,84.169998,55.710758,5776400
2006-01-12,83.820000,83.959999,83.400002,83.570000,55.313625,4924100
2006-01-13,83.000000,83.449997,82.500000,83.169998,55.048866,6921600
2006-01-17,82.800003,83.160004,82.540001,83.000000,54.936375,8718400
2006-01-18,84.000000,84.699997,83.519997,83.800003,55.465862,10984800
2006-01-19,84.139999,84.389999,83.019997,83.089996,54.995918,6483500
2006-01-20,83.040001,83.050003,81.250000,81.360001,53.850868,8605800
2006-01-23,81.330002,81.919998,80.919998,81.410004,53.883965,6114100
2006-01-24,81.389999,82.150002,80.800003,80.849998,53.513309,6069000
2006-01-25,81.050003,81.620003,80.610001,80.910004,53.553020,6374300
2006-01-26,81.500000,81.650002,80.589996,80.720001,53.427258,7810200
2006-01-27,80.750000,81.769997,80.750000,81.019997,53.625809,6103400
2006-01-30,80.209999,81.809998,80.209999,81.629997,54.029572,5325100
2006-01-31,81.500000,82.000000,81.169998,81.300003,53.811161,6771600
2006-02-01,80.900002,82.239998,80.650002,81.940002,54.234783,5419300
2006-02-02,81.449997,81.589996,80.900002,81.230003,53.764805,6198000
2006-02-03,80.550003,80.769997,79.720001,79.970001,52.930847,9852000
2006-02-06,79.940002,79.949997,78.930000,79.510002,52.626389,9568500
2006-02-07,79.500000,80.190002,79.300003,79.849998,52.851433,5247300
2006-02-08,80.580002,80.900002,80.239998,80.800003,53.614483,5029200
2006-02-09,80.400002,80.800003,79.500000,80.400002,53.349064,7609200
2006-02-10,80.400002,81.459999,80.199997,81.330002,53.966198,5371900
2006-02-13,81.330002,81.910004,80.180000,80.440002,53.375626,5257400
2006-02-14,80.550003,81.449997,80.349998,81.089996,53.806934,6075500
2006-02-15,80.860001,81.500000,80.500000,80.849998,53.647682,5052000
2006-02-16,80.680000,80.910004,80.129997,80.910004,53.687477,5310500
2006-02-17,80.910004,81.029999,80.129997,80.709999,53.554775,5298800
2006-02-21,80.099998,80.750000,79.970001,80.500000,53.415428,5838000
2006-02-22,80.000000,81.650002,79.970001,81.349998,53.979431,5294300
2006-02-23,81.199997,81.339996,80.040001,80.199997,53.216385,4979400
2006-02-24,80.650002,80.650002,79.849998,80.099998,53.149994,3903200
2006-02-27,79.970001,80.889999,79.949997,80.629997,53.501694,3787000
2006-02-28,80.099998,80.550003,79.709999,80.239998,53.242931,5960700
2006-03-01,80.199997,80.809998,79.779999,79.900002,53.017303,5172300
2006-03-02,79.550003,80.209999,79.540001,79.940002,53.043831,4418800
2006-03-03,79.510002,80.830002,79.510002,79.959999,53.057121,4354400
2006-03-06,79.910004,80.639999,79.900002,80.000000,53.083672,4709500
2006-03-07,80.010002,80.790001,79.860001,80.290001,53.276093,4330800
2006-03-08,80.250000,81.599998,80.250000,81.139999,53.840118,5569900
2006-03-09,81.260002,81.980003,80.800003,81.019997,53.760487,4310700
2006-03-10,81.029999,82.250000,81.029999,81.570000,54.125412,4787200
2006-03-13,81.559998,82.400002,81.449997,81.930000,54.364319,4571400
2006-03-14,81.510002,82.989998,81.470001,82.879997,54.994663,4518000
2006-03-15,82.650002,83.760002,82.639999,83.379997,55.326454,5370400
2006-03-16,83.430000,83.720001,82.610001,82.870003,54.988056,4299500
2006-03-17,83.349998,83.410004,82.820000,83.300003,55.273365,6414400
2006-03-20,83.110001,83.750000,82.989998,83.580002,55.459156,3870300
2006-03-21,83.820000,84.989998,83.580002,83.809998,55.611763,7404300
2006-03-22,83.349998,84.680000,83.349998,84.449997,56.036430,4968600
2006-03-23,84.230003,84.269997,82.930000,83.199997,55.207008,5105800
2006-03-24,82.989998,83.720001,82.989998,83.360001,55.313164,4198800
2006-03-27,82.980003,83.260002,82.580002,83.080002,55.127373,3910100
2006-03-28,82.860001,83.389999,82.290001,82.430000,54.696068,4508600
2006-03-29,82.199997,83.550003,82.199997,83.129997,55.160557,4392100
2006-03-30,82.879997,83.699997,82.830002,83.199997,55.207008,4467000
2006-03-31,82.949997,83.599998,82.290001,82.470001,54.722614,5862000
2006-04-03,82.720001,83.589996,82.650002,83.059998,55.114098,4121600
2006-04-04,83.050003,83.779999,82.800003,83.449997,55.372906,3853000
2006-04-05,83.330002,84.449997,83.320000,84.169998,55.850651,5523900
2006-04-06,83.699997,84.320000,83.360001,83.809998,55.611763,4944100
2006-04-07,83.599998,83.800003,82.440002,82.480003,54.729252,5337500
2006-04-10,82.269997,82.739998,82.000000,82.099998,54.477104,3627700
2006-04-11,81.830002,82.059998,80.750000,81.160004,53.853378,5959700
2006-04-12,81.099998,81.370003,80.629997,80.750000,53.581318,3905200
2006-04-13,81.180000,82.599998,81.120003,81.980003,54.397476,4799700
2006-04-17,81.919998,82.919998,81.400002,81.639999,54.171860,4634200
2006-04-18,81.889999,83.529999,81.699997,83.309998,55.280003,7905800
2006-04-19,83.949997,84.000000,81.260002,81.860001,54.317860,10554700
2006-04-20,81.650002,82.849998,81.639999,82.019997,54.424019,6237200
2006-04-21,82.489998,82.500000,81.379997,81.660004,54.185131,6117400
2006-04-24,81.300003,82.410004,81.099998,82.110001,54.483757,6604100
2006-04-25,81.949997,82.900002,81.599998,82.669998,54.855328,6856300
2006-04-26,82.839996,83.480003,82.709999,83.349998,55.306549,6648800
2006-04-27,82.699997,84.400002,82.699997,83.879997,55.658230,8174300
2006-04-28,83.510002,83.620003,81.980003,82.339996,54.636353,8201800
2006-05-01,82.589996,83.309998,82.099998,82.230003,54.563366,6011100
2006-05-02,82.110001,82.739998,82.000000,82.419998,54.689438,4336400
2006-05-03,82.540001,83.290001,82.449997,82.699997,54.875240,5721100
2006-05-04,82.870003,83.089996,82.400002,82.430000,54.696068,3966900
2006-05-05,82.949997,83.339996,82.699997,83.279999,55.260105,4504500
2006-05-08,82.599998,83.220001,82.300003,82.889999,55.200142,3856500
2006-05-09,82.489998,83.290001,82.410004,83.230003,55.426563,4072800
2006-05-10,82.900002,83.330002,82.599998,82.900002,55.206825,3430400
2006-05-11,82.650002,83.089996,82.449997,82.459999,54.913776,5274500
2006-05-12,82.470001,83.690002,82.300003,82.389999,54.867180,5685700
2006-05-15,81.800003,83.150002,81.800003,82.889999,55.200142,5776400
2006-05-16,83.000000,83.250000,82.070000,82.160004,54.714008,4454800
2006-05-17,81.750000,82.209999,81.019997,81.269997,54.121330,5936000
2006-05-18,80.500000,81.349998,80.029999,80.660004,53.715099,5443600
2006-05-19,80.860001,81.000000,79.510002,80.279999,53.462051,7019100
2006-05-22,79.830002,80.339996,79.400002,80.019997,53.288895,6250900
2006-05-23,80.250000,81.300003,79.639999,79.830002,53.162369,5006400
2006-05-24,79.349998,80.040001,79.059998,79.779999,53.129066,7389600
2006-05-25,79.889999,80.180000,79.650002,80.139999,53.368813,3995000
2006-05-26,80.160004,80.860001,79.699997,80.750000,53.775032,3580800
